MODEL,MAKE,MODEL,VEHICLE CLASS,MOTOR,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,CONSUMPTION,RANGE,RECHARGE,FUEL,CONSUMPTION,,,RANGE,CO2 EMISSIONS,CO2
YEAR,,,,(kW),(L),,,TYPE 1,COMBINED Le/100 km,(km),TIME (h),TYPE 2,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),(km),(g/km),RATING
2012,CHEVROLET,VOLT,COMPACT,111,1.4,4,AV,B,2.5 (22.3 kWh/100 km),56,4,Z,6.7,5.9,6.4,550,54,n/a
2013,CHEVROLET,VOLT,COMPACT,111,1.4,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,550,45,n/a
2013,FORD,C-MAX ENERGI,MID-SIZE,68,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a
2013,FORD,FUSION ENERGI,MID-SIZE,68,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a
2013,TOYOTA,PRIUS PLUG-IN,MID-SIZE,60,1.8,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),17,1.5,X,4.7,4.8,4.7,845,81,n/a
2014,CADILLAC,ELR,COMPACT,117,1.4,4,AV,B,2.9 (25.3 kWh/100 km),59,5,Z,7.6,6.7,7.2,493,50,n/a
2014,CHEVROLET,VOLT,COMPACT,111,1.4,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,550,45,n/a
2014,FORD,C-MAX ENERGI,MID-SIZE,68,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a
2014,FORD,FUSION ENERGI,MID-SIZE,68,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a
2014,PORSCHE,PANAMERA S E-HYBRID,FULL-SIZE,71,3.0,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,n/a
2014,TOYOTA,PRIUS PLUG-IN,MID-SIZE,60,1.8,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),17,1.5,X,4.7,4.8,4.7,845,81,n/a
2015,BMW,i3 REX,SUBCOMPACT,125,0.6,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5.7,6.3,6.0,119,22,n/a
