Ref_Date,GEO,Geographical classification,SEX,CAUSES,UNIT,Vector,Coordinate,Value
1996,Canada,0,Both sexes,"Total, all causes of death",Mortality,v2007288,1.1.1.1,668.9
1996,Canada,0,Both sexes,"Total, all causes of death","Low 95% confidence interval, mortality",v2007289,1.1.1.2,667.3
1996,Canada,0,Both sexes,"Total, all causes of death","High 95% confidence interval, mortality",v2007290,1.1.1.3,670.5
1996,Canada,0,Both sexes,All malignant neoplasms (cancers),Mortality,v2007291,1.1.2.1,185.7
1996,Canada,0,Both sexes,All malignant neoplasms (cancers),"Low 95% confidence interval, mortality",v2007292,1.1.2.2,184.8
1996,Canada,0,Both sexes,All malignant neoplasms (cancers),"High 95% confidence interval, mortality",v2007293,1.1.2.3,186.5
1996,Canada,0,Both sexes,Colorectal cancer,Mortality,v2007294,1.1.3.1,19.4
1996,Canada,0,Both sexes,Colorectal cancer,"Low 95% confidence interval, mortality",v2007295,1.1.3.2,19.1
1996,Canada,0,Both sexes,Colorectal cancer,"High 95% confidence interval, mortality",v2007296,1.1.3.3,19.7
1996,Canada,0,Both sexes,Lung cancer,Mortality,v2007297,1.1.4.1,49.2
1996,Canada,0,Both sexes,Lung cancer,"Low 95% confidence interval, mortality",v2007298,1.1.4.2,48.8
1996,Canada,0,Both sexes,Lung cancer,"High 95% confidence interval, mortality",v2007299,1.1.4.3,49.7
1996,Canada,0,Both sexes,Female breast cancer,Mortality,v2007300,1.1.5.1,15.7
1996,Canada,0,Both sexes,Female breast cancer,"Low 95% confidence interval, mortality",v2007301,1.1.5.2,15.4
1996,Canada,0,Both sexes,Female breast cancer,"High 95% confidence interval, mortality",v2007302,1.1.5.3,15.9
1996,Canada,0,Both sexes,Prostate cancer,Mortality,v2007303,1.1.6.1,11.4
1996,Canada,0,Both sexes,Prostate cancer,"Low 95% confidence interval, mortality",v2007304,1.1.6.2,11.2
1996,Canada,0,Both sexes,Prostate cancer,"High 95% confidence interval, mortality",v2007305,1.1.6.3,11.6
1996,Canada,0,Both sexes,Circulatory diseases,Mortality,v2007306,1.1.7.1,245.8
1996,Canada,0,Both sexes,Circulatory diseases,"Low 95% confidence interval, mortality",v2007307,1.1.7.2,244.8
1996,Canada,0,Both sexes,Circulatory diseases,"High 95% confidence interval, mortality",v2007308,1.1.7.3,246.8
1996,Canada,0,Both sexes,Ischaemic heart diseases,Mortality,v2007309,1.1.8.1,136.4
1996,Canada,0,Both sexes,Ischaemic heart diseases,"Low 95% confidence interval, mortality",v2007310,1.1.8.2,135.6
1996,Canada,0,Both sexes,Ischaemic heart diseases,"High 95% confidence interval, mortality",v2007311,1.1.8.3,137.1
1996,Canada,0,Both sexes,All other circulatory diseases,Mortality,v2007312,1.1.9.1,61.0
1996,Canada,0,Both sexes,All other circulatory diseases,"Low 95% confidence interval, mortality",v2007313,1.1.9.2,60.5
1996,Canada,0,Both sexes,All other circulatory diseases,"High 95% confidence interval, mortality",v2007314,1.1.9.3,61.5
1996,Canada,0,Both sexes,Cerebrovascular diseases,Mortality,v2007315,1.1.10.1,48.4
1996,Canada,0,Both sexes,Cerebrovascular diseases,"Low 95% confidence interval, mortality",v2007316,1.1.10.2,47.9
1996,Canada,0,Both sexes,Cerebrovascular diseases,"High 95% confidence interval, mortality",v2007317,1.1.10.3,48.8
1996,Canada,0,Both sexes,Respiratory diseases (excluding infectious and parasitic diseases),Mortality,v2007318,1.1.11.1,59.8
1996,Canada,0,Both sexes,Respiratory diseases (excluding infectious and parasitic diseases),"Low 95% confidence interval, mortality",v2007319,1.1.11.2,59.3
1996,Canada,0,Both sexes,Respiratory diseases (excluding infectious and parasitic diseases),"High 95% confidence interval, mortality",v2007320,1.1.11.3,60.3
1996,Canada,0,Both sexes,Pneumonia and influenza,Mortality,v2007321,1.1.12.1,23.3
1996,Canada,0,Both sexes,Pneumonia and influenza,"Low 95% confidence interval, mortality",v2007322,1.1.12.2,23.0
1996,Canada,0,Both sexes,Pneumonia and influenza,"High 95% confidence interval, mortality",v2007323,1.1.12.3,23.6
1996,Canada,0,Both sexes,"Bronchitis, emphysema and asthma",Mortality,v2007324,1.1.13.1,6.1
1996,Canada,0,Both sexes,"Bronchitis, emphysema and asthma","Low 95% confidence interval, mortality",v2007325,1.1.13.2,6.0
1996,Canada,0,Both sexes,"Bronchitis, emphysema and asthma","High 95% confidence interval, mortality",v2007326,1.1.13.3,6.3
